Month,Year,Department,Total_Count,Nationality
Jul,1994,Labour,1,Expat,
Aug,1997,Labour,1,Expat,
May,1998,Labour,1,Expat,
Jun,1998,Labour,1,Expat,
Jul,1998,PROJECTS,1,Expat,
Aug,1998,Labour,2,Expat,
Oct,1998,LOGISTICS,1,Expat,
Feb,2000,Labour,1,Expat,
Apr,2000,Labour,2,Expat,
Jul,2000,Labour,3,Expat,
Aug,2000,ELECTRICAL,1,Expat,
Aug,2000,Labour,2,Expat,
Aug,2000,MECHANICAL WORKSHOP,1,Expat,
Jan,2001,Labour,1,Expat,
Apr,2001,Labour,2,Expat,
May,2002,QS & TENDERING,1,Expat,
Jul,2002,"TRAINING, WELFARE & DEVELOPMENT",1,Expat,
Jun,2003,Labour,1,Expat,
Jun,2003,STORES,1,Expat,
Jul,2003,PLANNING,1,Expat,
Aug,2003,Labour,3,Expat,
Sep,2003,CWS,1,Expat,
Sep,2003,MAS,1,Expat,
Nov,2003,ADMINISTRATION,1,Expat,
Jan,2004,Labour,1,Expat,
Feb,2004,Labour,3,Expat,
Feb,2004,Labour,1,Omani,
Mar,2004,Labour,2,Expat,
Jun,2004,CONTRACTS,1,Expat,
Aug,2004,MECHANICAL WORKSHOP,1,Expat,
Sep,2004,CIVIL,1,Expat,
Sep,2004,Labour,1,Expat,
Jan,2005,Labour,1,Expat,
Mar,2005,ADMINISTRATION & GENERAL,1,Omani,
Apr,2005,ELECTRICAL,1,Expat,
May,2005,Labour,1,Expat,
May,2005,STORES,1,Expat,
Aug,2005,Labour,1,Expat,
Aug,2005,PMV,1,Expat,
Sep,2005,LOGISTICS,1,Omani,
Sep,2005,Labour,1,Expat,
Oct,2005,Labour,4,Expat,
Nov,2005,ELECTRICAL,1,Expat,
Nov,2005,Labour,2,Expat,
Dec,2005,Labour,1,Expat,
Jan,2006,Labour,1,Expat,
Feb,2006,Labour,5,Expat,
Feb,2006,MECHANICAL WORKSHOP,1,Expat,
Mar,2006,Labour,1,Expat,
Apr,2006,Labour,3,Expat,
Jun,2006,Labour,2,Expat,
Jul,2006,Labour,1,Expat,
Aug,2006,Labour,1,Expat,
Oct,2006,STORES,1,Expat,
Nov,2006,Labour,2,Expat,
Dec,2006,Labour,2,Expat,
Jan,2007,Labour,5,Expat,
Feb,2007,CIVIL,1,Expat,
Feb,2007,Labour,5,Expat,
Feb,2007,QS & TENDERING,1,Expat,
Mar,2007,FMT,1,Expat,
Mar,2007,Labour,2,Expat,
Apr,2007,Labour,4,Expat,
Jun,2007,ADMINISTRATION & GENERAL,1,Omani,
Jul,2007,Labour,1,Expat,
Aug,2007,Labour,1,Expat,
Aug,2007,QS & TENDERING,1,Expat,
Sep,2007,IT & AUDIT,1,Expat,
Sep,2007,Labour,1,Expat,
Oct,2007,Labour,1,Expat,
Nov,2007,Labour,2,Expat,
Dec,2007,Labour,2,Expat,
Jan,2008,CIVIL,1,Expat,
Jan,2008,Labour,3,Expat,
Feb,2008,ADMINISTRATION,1,Expat,
Mar,2008,Labour,6,Expat,
Mar,2008,SITE,1,Omani,
Apr,2008,ADMINISTRATION & GENERAL,2,Omani,
Apr,2008,HSE Q,2,Expat,
Apr,2008,Labour,1,Expat,
Apr,2008,PURCHASE,1,Expat,
May,2008,HUMAN RESOURCES,1,Expat,
May,2008,IT,1,Expat,
May,2008,Labour,7,Expat,
Jun,2008,Labour,4,Expat,
Jul,2008,CAD,1,Expat,
Jul,2008,FMT,1,Expat,
Jul,2008,LOGISTICS,1,Expat,
Jul,2008,Labour,1,Expat,
Aug,2008,ADMINISTRATION & GENERAL,1,Omani,
Oct,2008,ACCOUNTS,1,Expat,
Oct,2008,FINANCE,1,Expat,
Nov,2008,LOGISTICS,2,Expat,
Nov,2008,Labour,4,Expat,
Jan,2009,CONTRACTS,1,Expat,
Jan,2009,Labour,2,Expat,
Feb,2009,Labour,2,Expat,
Feb,2009,OPERATIONS,1,Expat,
Mar,2009,HSE Q,1,Expat,
Apr,2009,Labour,1,Expat,
Apr,2009,SITE,1,Omani,
May,2009,Labour,1,Expat,
Jun,2009,Labour,1,Expat,
Jul,2009,Labour,1,Expat,
Jul,2009,PURCHASE,1,Expat,
Nov,2009,ADMINISTRATION & GENERAL,1,Omani,
Dec,2009,CIVIL,1,Expat,
Dec,2009,Labour,5,Expat,
Dec,2009,POST TENSION,1,Expat,
Jan,2010,CIVIL,1,Expat,
Jan,2010,LOGISTICS,1,Omani,
Jan,2010,Labour,10,Expat,
Feb,2010,Labour,9,Expat,
Mar,2010,Labour,2,Expat,
Apr,2010,Labour,1,Expat,
Apr,2010,MECHANICAL WORKSHOP,1,Expat,
May,2010,ADMINISTRATION & GENERAL,1,Omani,
May,2010,Labour,2,Expat,
Jun,2010,Labour,3,Expat,
Jul,2010,Labour,5,Expat,
Jul,2010,SITE,1,Omani,
Aug,2010,LOGISTICS,1,Omani,
Aug,2010,Labour,1,Expat,
Sep,2010,CIVIL,1,Expat,
Sep,2010,LOGISTICS,1,Omani,
Sep,2010,Labour,5,Expat,
Sep,2010,SITE,4,Expat,
Oct,2010,ELECTRICAL,1,Expat,
Oct,2010,Labour,8,Expat,
Oct,2010,TECHNICAL,2,Omani,
Nov,2010,ADMINISTRATION & GENERAL,1,Omani,
Nov,2010,Labour,5,Expat,
Dec,2010,Labour,3,Expat,
Jan,2011,LOGISTICS,2,Omani,
Jan,2011,Labour,5,Expat,
Feb,2011,Labour,3,Expat,
Feb,2011,PROJECTS,1,Expat,
Mar,2011,ADMINISTRATION,1,Expat,
Mar,2011,ADMINISTRATION & GENERAL,1,Omani,
Apr,2011,Labour,1,Expat,
May,2011,CIVIL,1,Expat,
May,2011,SITE,1,Expat,
Jun,2011,HVAC & MECHANICAL,1,Expat,
Jun,2011,LOGISTICS,1,Omani,
Jun,2011,Labour,3,Expat,
Jun,2011,SITE,4,Expat,
Jun,2011,SITE,1,Omani,
Jul,2011,Labour,3,Expat,
Aug,2011,ADMINISTRATION & GENERAL,1,Omani,
Aug,2011,Labour,3,Expat,
Sep,2011,ADMINISTRATION & GENERAL,1,Omani,
Sep,2011,Labour,3,Expat,
Oct,2011,Labour,8,Expat,
Oct,2011,SITE,1,Omani,
Nov,2011,Labour,9,Expat,
Nov,2011,QS & TENDERING,1,Expat,
Dec,2011,CIVIL,1,Expat,
Dec,2011,Labour,11,Expat,
Jan,2012,ADMINISTRATION & GENERAL,1,Omani,
Jan,2012,Labour,15,Expat,
Feb,2012,ADMINISTRATION & GENERAL,1,Omani,
Feb,2012,Labour,13,Expat,
Mar,2012,ADMINISTRATION & GENERAL,1,Omani,
Mar,2012,LOGISTICS,1,Omani,
Mar,2012,Labour,12,Expat,
Mar,2012,STORES,1,Expat,
Apr,2012,ADMINISTRATION,1,Omani,
Apr,2012,ADMINISTRATION & GENERAL,1,Omani,
Apr,2012,LOGISTICS,1,Omani,
Apr,2012,Labour,11,Expat,
May,2012,ALUMINIUM FABRICATION,1,Expat,
May,2012,CAD,1,Expat,
May,2012,LOGISTICS,1,Omani,
May,2012,Labour,3,Expat,
May,2012,PROJECTS,1,Expat,
May,2012,SITE,1,Omani,
Jun,2012,ADMINISTRATION & GENERAL,1,Omani,
Jun,2012,HVAC & MECHANICAL,1,Expat,
Jun,2012,LOGISTICS,1,Expat,
Jun,2012,LOGISTICS,8,Omani,
Jun,2012,Labour,4,Expat,
Jun,2012,PROJECTS,2,Expat,
Jul,2012,LOGISTICS,2,Omani,
Jul,2012,Labour,5,Expat,
Jul,2012,PROJECTS,1,Expat,
Aug,2012,FABRICATION,1,Expat,
Aug,2012,Labour,7,Expat,
Sep,2012,Labour,12,Expat,
Sep,2012,PROJECTS,1,Expat,
Oct,2012,ACCOUNTS,1,Expat,
Oct,2012,Labour,17,Expat,
Nov,2012,Labour,5,Expat,
Nov,2012,PROJECTS,1,Expat,
Dec,2012,CIVIL,1,Expat,
Dec,2012,LOGISTICS,2,Omani,
Dec,2012,Labour,4,Expat,
Jan,2013,ELECTRICAL,1,Expat,
Jan,2013,HVAC & MECHANICAL,1,Expat,
Jan,2013,Labour,5,Expat,
Jan,2013,STORES,1,Expat,
Feb,2013,LOGISTICS,1,Omani,
Feb,2013,Labour,4,Expat,
Mar,2013,ADMINISTRATION & GENERAL,1,Omani,
Mar,2013,CRUSHER,1,Expat,
Mar,2013,LOGISTICS,2,Omani,
Mar,2013,Labour,3,Expat,
Mar,2013,MECHANICAL WORKSHOP,1,Expat,
Mar,2013,SITE,1,Omani,
Apr,2013,ADMINISTRATION & GENERAL,1,Omani,
Apr,2013,CWS,1,Expat,
Apr,2013,LOGISTICS,5,Omani,
Apr,2013,Labour,7,Expat,
May,2013,ADMINISTRATION & GENERAL,2,Omani,
May,2013,DESIGN & BUILT,1,Expat,
May,2013,Labour,1,Expat,
May,2013,SITE,1,Omani,
