COMPANY,NATIONALITY,YEAR,MONTH,MM,STRENGTH
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2008,AUGUST   ,08,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2008,AUGUST   ,08,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2008,AUGUST   ,08,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,EGYPTION,2008,AUGUST   ,08,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2008,AUGUST   ,08,"1,790"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2008,AUGUST   ,08,59
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2008,AUGUST   ,08,69
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2008,AUGUST   ,08,2
BOLD POINT CONSTRUCTION,INDIAN,2008,AUGUST   ,08,7
HIGH-END BUSINESS SERVICES,INDIAN,2008,AUGUST   ,08,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2008,AUGUST   ,08,1
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2008,AUGUST   ,08,1
NEW ROTANA ENTERPRISES LLC,INDIAN,2008,AUGUST   ,08,128
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2008,AUGUST   ,08,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2008,SEPTEMBER,09,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2008,SEPTEMBER,09,2
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2008,SEPTEMBER,09,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,EGYPTION,2008,SEPTEMBER,09,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2008,SEPTEMBER,09,"1,793"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2008,SEPTEMBER,09,70
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2008,SEPTEMBER,09,69
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2008,SEPTEMBER,09,2
BOLD POINT CONSTRUCTION,INDIAN,2008,SEPTEMBER,09,7
HIGH-END BUSINESS SERVICES,INDIAN,2008,SEPTEMBER,09,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2008,SEPTEMBER,09,1
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2008,SEPTEMBER,09,1
NEW ROTANA ENTERPRISES LLC,INDIAN,2008,SEPTEMBER,09,131
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2008,SEPTEMBER,09,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2008,OCTOBER  ,10,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2008,OCTOBER  ,10,6
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2008,OCTOBER  ,10,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,EGYPTION,2008,OCTOBER  ,10,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2008,OCTOBER  ,10,"1,839"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2008,OCTOBER  ,10,71
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2008,OCTOBER  ,10,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2008,OCTOBER  ,10,69
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2008,OCTOBER  ,10,6
BOLD POINT CONSTRUCTION,INDIAN,2008,OCTOBER  ,10,7
HIGH-END BUSINESS SERVICES,INDIAN,2008,OCTOBER  ,10,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2008,OCTOBER  ,10,1
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2008,OCTOBER  ,10,1
NEW ROTANA ENTERPRISES LLC,INDIAN,2008,OCTOBER  ,10,137
NEW ROTANA ENTERPRISES LLC,OMANI,2008,OCTOBER  ,10,5
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2008,OCTOBER  ,10,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2008,NOVEMBER ,11,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2008,NOVEMBER ,11,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2008,NOVEMBER ,11,8
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,EGYPTION,2008,NOVEMBER ,11,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2008,NOVEMBER ,11,"1,905"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2008,NOVEMBER ,11,81
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2008,NOVEMBER ,11,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2008,NOVEMBER ,11,69
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2008,NOVEMBER ,11,7
BOLD POINT CONSTRUCTION,INDIAN,2008,NOVEMBER ,11,7
HIGH-END BUSINESS SERVICES,INDIAN,2008,NOVEMBER ,11,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2008,NOVEMBER ,11,1
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2008,NOVEMBER ,11,1
NEW ROTANA ENTERPRISES LLC,INDIAN,2008,NOVEMBER ,11,139
NEW ROTANA ENTERPRISES LLC,OMANI,2008,NOVEMBER ,11,9
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2008,NOVEMBER ,11,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2008,DECEMBER ,12,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2008,DECEMBER ,12,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2008,DECEMBER ,12,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,EGYPTION,2008,DECEMBER ,12,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2008,DECEMBER ,12,"1,959"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2008,DECEMBER ,12,81
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2008,DECEMBER ,12,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2008,DECEMBER ,12,69
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2008,DECEMBER ,12,7
BOLD POINT CONSTRUCTION,INDIAN,2008,DECEMBER ,12,7
HIGH-END BUSINESS SERVICES,INDIAN,2008,DECEMBER ,12,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2008,DECEMBER ,12,1
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2008,DECEMBER ,12,1
NEW ROTANA ENTERPRISES LLC,INDIAN,2008,DECEMBER ,12,140
NEW ROTANA ENTERPRISES LLC,OMANI,2008,DECEMBER ,12,10
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2008,DECEMBER ,12,1
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2009,JANUARY  ,01,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2009,JANUARY  ,01,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2009,JANUARY  ,01,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,EGYPTION,2009,JANUARY  ,01,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2009,JANUARY  ,01,"1,994"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2009,JANUARY  ,01,86
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2009,JANUARY  ,01,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2009,JANUARY  ,01,69
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2009,JANUARY  ,01,7
BOLD POINT CONSTRUCTION,INDIAN,2009,JANUARY  ,01,7
HIGH-END BUSINESS SERVICES,INDIAN,2009,JANUARY  ,01,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2009,JANUARY  ,01,1
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2009,JANUARY  ,01,1
NEW ROTANA ENTERPRISES LLC,INDIAN,2009,JANUARY  ,01,146
NEW ROTANA ENTERPRISES LLC,OMANI,2009,JANUARY  ,01,10
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2009,JANUARY  ,01,2
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2009,FEBRUARY ,02,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2009,FEBRUARY ,02,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2009,FEBRUARY ,02,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,EGYPTION,2009,FEBRUARY ,02,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2009,FEBRUARY ,02,"2,016"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2009,FEBRUARY ,02,90
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2009,FEBRUARY ,02,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2009,FEBRUARY ,02,69
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2009,FEBRUARY ,02,7
BOLD POINT CONSTRUCTION,INDIAN,2009,FEBRUARY ,02,7
HIGH-END BUSINESS SERVICES,INDIAN,2009,FEBRUARY ,02,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2009,FEBRUARY ,02,1
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2009,FEBRUARY ,02,1
NEW ROTANA ENTERPRISES LLC,INDIAN,2009,FEBRUARY ,02,151
NEW ROTANA ENTERPRISES LLC,OMANI,2009,FEBRUARY ,02,10
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2009,FEBRUARY ,02,2
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2009,MARCH    ,03,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2009,MARCH    ,03,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2009,MARCH    ,03,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,EGYPTION,2009,MARCH    ,03,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2009,MARCH    ,03,"2,041"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2009,MARCH    ,03,93
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2009,MARCH    ,03,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2009,MARCH    ,03,69
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2009,MARCH    ,03,7
BOLD POINT CONSTRUCTION,INDIAN,2009,MARCH    ,03,7
HIGH-END BUSINESS SERVICES,INDIAN,2009,MARCH    ,03,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2009,MARCH    ,03,1
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2009,MARCH    ,03,1
NEW ROTANA ENTERPRISES LLC,INDIAN,2009,MARCH    ,03,152
NEW ROTANA ENTERPRISES LLC,OMANI,2009,MARCH    ,03,10
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2009,MARCH    ,03,2
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2009,APRIL    ,04,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2009,APRIL    ,04,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2009,APRIL    ,04,10
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,EGYPTION,2009,APRIL    ,04,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,INDIAN,2009,APRIL    ,04,"2,055"
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,2009,APRIL    ,04,98
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,SUDANI,2009,APRIL    ,04,1
AL KHAITH INDUSTRIES AND SERVICES SPC,INDIAN,2009,APRIL    ,04,69
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,2009,APRIL    ,04,7
BOLD POINT CONSTRUCTION,INDIAN,2009,APRIL    ,04,7
HIGH-END BUSINESS SERVICES,INDIAN,2009,APRIL    ,04,2
INFORMATION TECHNOLOGY SOLUTIONS SPC,INDIAN,2009,APRIL    ,04,1
INSIGHT ENGINEERING CONSULTANTS,INDIAN,2009,APRIL    ,04,1
NEW ROTANA ENTERPRISES LLC,INDIAN,2009,APRIL    ,04,151
NEW ROTANA ENTERPRISES LLC,OMANI,2009,APRIL    ,04,10
SILVER OASIS BUSINESS AND SERVICES,INDIAN,2009,APRIL    ,04,2
ADRAK FACILITIES AND SERVICES LLC,INDIAN,2009,MAY      ,05,65
ADRAK FACILITIES AND SERVICES LLC,OMANI,2009,MAY      ,05,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,BANGLADESH,2009,MAY      ,05,10
