Employee Category ,Year,Month,Type,Total_Strength
OMANI,1980,July     ,IN,1
LABOUR,1992,March    ,IN,1
LABOUR,1994,July     ,IN,1
STAFF,1994,July     ,IN,1
LABOUR,1995,December ,IN,2
LABOUR,1995,October  ,IN,1
STAFF,1995,March    ,IN,2
STAFF,1995,October  ,IN,1
LABOUR,1997,August   ,IN,3
LABOUR,1997,December ,IN,1
LABOUR,1997,January  ,IN,1
LABOUR,1997,July     ,IN,3
LABOUR,1997,March    ,IN,1
LABOUR,1997,October  ,IN,1
LABOUR,1997,September,IN,5
STAFF,1997,August   ,IN,3
STAFF,1997,July     ,IN,1
LABOUR,1998,August   ,IN,13
LABOUR,1998,January  ,IN,1
LABOUR,1998,January  ,OUT,1
LABOUR,1998,July     ,IN,13
LABOUR,1998,June     ,IN,10
LABOUR,1998,May      ,IN,8
LABOUR,1998,October  ,IN,4
LABOUR,1998,September,IN,1
STAFF,1998,August   ,IN,1
STAFF,1998,July     ,IN,5
STAFF,1998,June     ,IN,1
STAFF,1998,May      ,IN,1
STAFF,1998,October  ,IN,1
LABOUR,1999,April    ,OUT,3
LABOUR,1999,December ,OUT,1
LABOUR,1999,September,OUT,1
STAFF,1999,November ,IN,1
LABOUR,2000,April    ,IN,6
LABOUR,2000,August   ,IN,28
LABOUR,2000,August   ,OUT,1
LABOUR,2000,December ,IN,1
LABOUR,2000,February ,IN,8
LABOUR,2000,February ,OUT,1
LABOUR,2000,July     ,IN,19
LABOUR,2000,March    ,IN,10
LABOUR,2000,May      ,IN,1
LABOUR,2000,November ,IN,5
LABOUR,2000,November ,OUT,3
LABOUR,2000,October  ,IN,2
LABOUR,2000,September,IN,12
OMANI,2000,October  ,IN,2
STAFF,2000,August   ,IN,2
STAFF,2000,February ,IN,2
STAFF,2000,June     ,IN,1
STAFF,2000,March    ,IN,3
STAFF,2000,October  ,IN,1
STAFF,2000,September,IN,2
LABOUR,2001,April    ,IN,12
LABOUR,2001,August   ,OUT,1
LABOUR,2001,December ,OUT,6
LABOUR,2001,February ,IN,7
LABOUR,2001,January  ,IN,10
LABOUR,2001,July     ,OUT,1
LABOUR,2001,March    ,IN,11
LABOUR,2001,May      ,IN,1
LABOUR,2001,May      ,OUT,1
LABOUR,2001,October  ,IN,1
LABOUR,2001,October  ,OUT,4
LABOUR,2001,September,OUT,2
STAFF,2001,April    ,IN,1
STAFF,2001,February ,IN,1
LABOUR,2002,August   ,IN,2
LABOUR,2002,August   ,OUT,1
LABOUR,2002,February ,OUT,3
LABOUR,2002,January  ,OUT,5
LABOUR,2002,July     ,IN,4
LABOUR,2002,June     ,IN,5
LABOUR,2002,June     ,OUT,2
LABOUR,2002,March    ,OUT,1
LABOUR,2002,May      ,IN,9
LABOUR,2002,May      ,OUT,1
LABOUR,2002,November ,OUT,2
LABOUR,2002,October  ,OUT,5
STAFF,2002,April    ,IN,1
STAFF,2002,August   ,IN,3
STAFF,2002,July     ,IN,9
STAFF,2002,June     ,IN,4
STAFF,2002,May      ,IN,6
LABOUR,2003,August   ,IN,27
LABOUR,2003,August   ,OUT,1
LABOUR,2003,February ,OUT,2
LABOUR,2003,January  ,IN,2
LABOUR,2003,January  ,OUT,1
LABOUR,2003,July     ,IN,22
LABOUR,2003,July     ,OUT,2
LABOUR,2003,June     ,IN,19
LABOUR,2003,May      ,IN,2
LABOUR,2003,November ,IN,2
LABOUR,2003,October  ,IN,4
LABOUR,2003,September,IN,22
LABOUR,2003,September,OUT,4
OMANI,2003,June     ,IN,1
STAFF,2003,August   ,IN,1
STAFF,2003,July     ,IN,4
STAFF,2003,June     ,IN,3
STAFF,2003,November ,IN,6
STAFF,2003,September,IN,2
LABOUR,2004,April    ,IN,1
LABOUR,2004,August   ,IN,1
LABOUR,2004,December ,IN,16
LABOUR,2004,December ,OUT,1
LABOUR,2004,February ,IN,45
LABOUR,2004,January  ,IN,2
LABOUR,2004,July     ,IN,3
LABOUR,2004,June     ,IN,2
LABOUR,2004,June     ,OUT,1
LABOUR,2004,March    ,IN,15
LABOUR,2004,May      ,OUT,1
LABOUR,2004,November ,IN,7
LABOUR,2004,October  ,IN,3
LABOUR,2004,October  ,OUT,1
LABOUR,2004,September,IN,3
LABOUR,2004,September,OUT,2
OMANI,2004,February ,IN,1
STAFF,2004,April    ,IN,1
STAFF,2004,January  ,IN,1
STAFF,2004,July     ,IN,1
STAFF,2004,June     ,IN,4
STAFF,2004,October  ,IN,1
STAFF,2004,September,IN,3
LABOUR,2005,April    ,IN,21
LABOUR,2005,April    ,OUT,1
LABOUR,2005,August   ,IN,35
LABOUR,2005,August   ,OUT,3
LABOUR,2005,December ,IN,17
LABOUR,2005,December ,OUT,4
LABOUR,2005,February ,IN,4
LABOUR,2005,January  ,IN,19
LABOUR,2005,July     ,IN,10
LABOUR,2005,June     ,IN,4
LABOUR,2005,June     ,OUT,1
LABOUR,2005,March    ,IN,3
LABOUR,2005,March    ,OUT,1
LABOUR,2005,May      ,IN,19
LABOUR,2005,May      ,OUT,4
LABOUR,2005,November ,IN,32
LABOUR,2005,November ,OUT,4
LABOUR,2005,October  ,IN,124
LABOUR,2005,October  ,OUT,5
LABOUR,2005,September,IN,87
LABOUR,2005,September,OUT,2
OMANI,2005,December ,IN,1
OMANI,2005,March    ,IN,3
OMANI,2005,May      ,IN,1
OMANI,2005,October  ,IN,2
OMANI,2005,September,IN,2
STAFF,2005,April    ,IN,2
STAFF,2005,August   ,IN,5
STAFF,2005,December ,IN,3
STAFF,2005,February ,IN,1
STAFF,2005,January  ,IN,1
STAFF,2005,July     ,IN,3
STAFF,2005,June     ,IN,9
STAFF,2005,March    ,IN,3
STAFF,2005,May      ,IN,3
STAFF,2005,November ,IN,5
STAFF,2005,October  ,IN,4
STAFF,2005,September,IN,10
LABOUR,2006,April    ,IN,25
LABOUR,2006,April    ,OUT,11
LABOUR,2006,August   ,IN,18
LABOUR,2006,August   ,OUT,14
LABOUR,2006,December ,IN,61
LABOUR,2006,December ,OUT,9
LABOUR,2006,February ,IN,52
LABOUR,2006,February ,OUT,10
LABOUR,2006,January  ,IN,32
LABOUR,2006,January  ,OUT,7
LABOUR,2006,July     ,IN,27
LABOUR,2006,July     ,OUT,14
LABOUR,2006,June     ,IN,18
LABOUR,2006,June     ,OUT,8
LABOUR,2006,March    ,IN,48
LABOUR,2006,March    ,OUT,8
LABOUR,2006,May      ,IN,30
LABOUR,2006,May      ,OUT,6
