COMPANY,EMPMAINCAT,NATIONALITY,YEAR,MONTH,MM,STRENGTH
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2008,AUGUST   ,08,47
ADRAK FACILITIES AND SERVICES LLC,OMANI,OMANI,2008,AUGUST   ,08,2
ADRAK FACILITIES AND SERVICES LLC,STAFF,INDIAN,2008,AUGUST   ,08,18
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,BANGLADESH,2008,AUGUST   ,08,7
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,LABOUR,INDIAN,2008,AUGUST   ,08,1558
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,OMANI,OMANI,2008,AUGUST   ,08,59
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,EGYPTION,2008,AUGUST   ,08,1
AL ADRAK TRADING AND CONTRACTING COMPANY LLC,STAFF,INDIAN,2008,AUGUST   ,08,232
AL KHAITH INDUSTRIES AND SERVICES SPC,LABOUR,INDIAN,2008,AUGUST   ,08,51
AL KHAITH INDUSTRIES AND SERVICES SPC,OMANI,OMANI,2008,AUGUST   ,08,2
AL KHAITH INDUSTRIES AND SERVICES SPC,STAFF,INDIAN,2008,AUGUST   ,08,18
BOLD POINT CONSTRUCTION,LABOUR,INDIAN,2008,AUGUST   ,08,5
BOLD POINT CONSTRUCTION,STAFF,INDIAN,2008,AUGUST   ,08,2
HIGH-END BUSINESS SERVICES,STAFF,INDIAN,2008,AUGUST   ,08,1
INFORMATION TECHNOLOGY SOLUTIONS SPC,STAFF,INDIAN,2008,AUGUST   ,08,1
INSIGHT ENGINEERING CONSULTANTS,STAFF,INDIAN,2008,AUGUST   ,08,1
NEW ROTANA ENTERPRISES LLC,LABOUR,INDIAN,2008,AUGUST   ,08,95
NEW ROTANA ENTERPRISES LLC,STAFF,INDIAN,2008,AUGUST   ,08,33
SILVER OASIS BUSINESS AND SERVICES,LABOUR,INDIAN,2008,AUGUST   ,08,1
ADRAK FACILITIES AND SERVICES LLC,LABOUR,INDIAN,2008,SEPTEMBER,09,47
