Employee_Type,Employee_Category,Expiry_Year,Expiry_Month,Total_by_Month 
Permanent,LABOUR,2000,Aug,2
Permanent,LABOUR,2000,Jul,1
Permanent,LABOUR,2000,Jun,1
Permanent,LABOUR,2000,May,1
Permanent,LABOUR,2001,Jun,1
Permanent,LABOUR,2002,Aug,4
Permanent,LABOUR,2002,Feb,3
Permanent,LABOUR,2002,Jul,2
Permanent,LABOUR,2002,Mar,2
Permanent,LABOUR,2002,Nov,2
Permanent,LABOUR,2002,Sep,3
Permanent,LABOUR,2003,Apr,1
Permanent,LABOUR,2003,Feb,1
Permanent,LABOUR,2003,Jan,3
Permanent,LABOUR,2003,May,1
Permanent,LABOUR,2004,Aug,2
Permanent,LABOUR,2004,Mar,2
Permanent,LABOUR,2004,May,2
Permanent,LABOUR,2004,Sep,5
Permanent,STAFF,2005,Mar,1
Permanent,LABOUR,2006,Aug,3
Permanent,LABOUR,2006,Dec,5
Permanent,LABOUR,2006,Feb,10
Permanent,LABOUR,2006,Jan,1
Permanent,LABOUR,2006,Jul,2
Permanent,LABOUR,2006,Jun,1
Permanent,LABOUR,2006,Mar,2
Permanent,LABOUR,2006,Nov,4
Permanent,LABOUR,2006,Oct,1
Permanent,STAFF,2006,Oct,2
Permanent,LABOUR,2006,Sep,12
Permanent,LABOUR,2007,Apr,8
Permanent,STAFF,2007,Apr,1
Permanent,LABOUR,2007,Aug,28
Permanent,STAFF,2007,Aug,2
Permanent,LABOUR,2007,Dec,9
Permanent,STAFF,2007,Dec,1
Permanent,LABOUR,2007,Feb,3
Permanent,LABOUR,2007,Jan,6
Permanent,STAFF,2007,Jan,1
Permanent,LABOUR,2007,Jul,9
Permanent,STAFF,2007,Jul,2
Permanent,LABOUR,2007,Jun,14
Permanent,STAFF,2007,Jun,6
Permanent,LABOUR,2007,Mar,6
Permanent,STAFF,2007,Mar,2
Permanent,LABOUR,2007,May,6
Permanent,STAFF,2007,May,1
Permanent,LABOUR,2007,Nov,8
Permanent,STAFF,2007,Nov,2
Permanent,LABOUR,2007,Oct,44
Permanent,STAFF,2007,Oct,1
Permanent,LABOUR,2007,Sep,39
Permanent,STAFF,2007,Sep,4
Permanent,LABOUR,2008,Apr,8
Permanent,STAFF,2008,Apr,1
Permanent,LABOUR,2008,Aug,4
Permanent,STAFF,2008,Aug,1
Permanent,LABOUR,2008,Dec,17
Permanent,STAFF,2008,Dec,2
Permanent,LABOUR,2008,Feb,32
Permanent,STAFF,2008,Feb,1
Permanent,LABOUR,2008,Jan,14
Permanent,STAFF,2008,Jan,2
Permanent,LABOUR,2008,Jul,13
Permanent,STAFF,2008,Jul,1
Permanent,LABOUR,2008,Jun,3
Permanent,STAFF,2008,Jun,5
Permanent,LABOUR,2008,Mar,17
Permanent,LABOUR,2008,May,14
Permanent,STAFF,2008,May,2
Permanent,LABOUR,2008,Nov,13
Permanent,STAFF,2008,Nov,2
Permanent,LABOUR,2008,Oct,2
Permanent,STAFF,2008,Oct,1
Permanent,LABOUR,2008,Sep,8
Permanent,LABOUR,2009,Apr,15
Permanent,STAFF,2009,Apr,4
Permanent,LABOUR,2009,Aug,11
Permanent,STAFF,2009,Aug,3
Permanent,LABOUR,2009,Dec,11
Permanent,STAFF,2009,Dec,10
Permanent,LABOUR,2009,Feb,22
Permanent,STAFF,2009,Feb,2
Permanent,LABOUR,2009,Jan,34
Permanent,STAFF,2009,Jan,2
Permanent,STAFF,2009,Jul,3
Permanent,LABOUR,2009,Jun,5
Permanent,STAFF,2009,Jun,3
Permanent,LABOUR,2009,Mar,39
Permanent,STAFF,2009,Mar,4
Permanent,LABOUR,2009,May,4
Permanent,LABOUR,2009,Nov,12
Permanent,STAFF,2009,Nov,4
Permanent,LABOUR,2009,Oct,21
Permanent,STAFF,2009,Oct,2
Permanent,LABOUR,2009,Sep,29
Permanent,STAFF,2009,Sep,2
Permanent,LABOUR,2010,Apr,17
Permanent,STAFF,2010,Apr,4
Permanent,LABOUR,2010,Aug,13
Permanent,STAFF,2010,Aug,4
Permanent,LABOUR,2010,Dec,43
Permanent,STAFF,2010,Dec,3
Permanent,LABOUR,2010,Feb,45
Permanent,STAFF,2010,Feb,7
Permanent,LABOUR,2010,Jan,32
Permanent,STAFF,2010,Jan,5
Permanent,LABOUR,2010,Jul,33
Permanent,STAFF,2010,Jul,4
Permanent,LABOUR,2010,Jun,47
Permanent,STAFF,2010,Jun,1
Permanent,LABOUR,2010,Mar,29
Permanent,STAFF,2010,Mar,4
Permanent,LABOUR,2010,May,43
